book_x,chapter_number,section_number,engaged,access,book_y,submit,learning_duration,learning_duration_rounded
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,993.0,2023-05-16 19:33:24,College / Advanced Statistics and Data Science (ABCD),2023-05-20 06:10:13,3 days 10:36:49,3
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,38746.0,2023-05-25 01:52:20,College / Advanced Statistics and Data Science (ABCD),2023-06-13 19:01:51,19 days 17:09:31,19
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,444.0,2023-05-31 16:29:14,College / Advanced Statistics and Data Science (ABCD),2023-06-01 02:03:53,0 days 09:34:39,0
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,969.0,2023-06-01 02:10:23,College / Advanced Statistics and Data Science (ABCD),2023-06-13 00:41:50,11 days 22:31:27,11
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,3237.0,2023-03-31 18:58:57,College / Advanced Statistics and Data Science (ABCD),2023-03-31 19:51:55,0 days 00:52:58,0
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,583.0,2023-03-31 19:51:59,College / Advanced Statistics and Data Science (ABCD),2023-04-02 03:32:48,1 days 07:40:49,1
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,1258.0,2023-04-02 03:33:03,College / Advanced Statistics and Data Science (ABCD),2023-04-09 23:32:42,7 days 19:59:39,7
College / Advanced Statistics and Data Science (ABCD),4.0,2.0,134.0,2023-04-09 23:48:12,College / Advanced Statistics and Data Science (ABCD),2023-04-15 07:03:33,5 days 07:15:21,5
College / Advanced Statistics and Data Science (ABCD),5.0,2.0,1235.0,2023-04-17 04:05:57,College / Advanced Statistics and Data Science (ABCD),2023-04-20 01:59:31,2 days 21:53:34,2
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,557.0,2023-04-22 05:25:50,College / Advanced Statistics and Data Science (ABCD),2023-04-27 09:27:22,5 days 04:01:32,5
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,194.0,2023-05-07 00:01:37,College / Advanced Statistics and Data Science (ABCD),2023-05-10 08:20:39,3 days 08:19:02,3
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,643.0,2023-05-15 08:07:53,College / Advanced Statistics and Data Science (ABCD),2023-05-17 05:52:53,1 days 21:45:00,1
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,663.0,2023-05-23 18:36:37,College / Advanced Statistics and Data Science (ABCD),2023-05-25 05:23:19,1 days 10:46:42,1
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,735.0,2023-05-31 21:31:42,College / Advanced Statistics and Data Science (ABCD),2023-06-01 04:47:03,0 days 07:15:21,0
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,714.0,2023-03-31 19:52:31,College / Advanced Statistics and Data Science (ABCD),2023-06-06 08:37:37,66 days 12:45:06,66
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,13113.0,2023-01-09 00:00:39,College / Advanced Statistics and Data Science (ABCD),2023-01-09 01:52:11,0 days 01:51:32,0
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,11780.0,2023-01-11 01:55:38,College / Advanced Statistics and Data Science (ABCD),2023-01-11 07:34:46,0 days 05:39:08,0
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,7081.0,2023-01-11 07:34:52,College / Advanced Statistics and Data Science (ABCD),2023-01-18 10:10:08,7 days 02:35:16,7
College / Advanced Statistics and Data Science (ABCD),4.0,1.0,35317.0,2023-01-23 00:02:20,College / Advanced Statistics and Data Science (ABCD),2023-01-23 03:19:07,0 days 03:16:47,0
College / Advanced Statistics and Data Science (ABCD),5.0,1.0,175490.0,2023-01-25 05:34:59,College / Advanced Statistics and Data Science (ABCD),2023-01-26 06:23:15,1 days 00:48:16,1
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,17955.0,2023-01-30 01:58:29,College / Advanced Statistics and Data Science (ABCD),2023-01-30 05:54:48,0 days 03:56:19,0
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,141343.0,2023-02-08 05:25:07,College / Advanced Statistics and Data Science (ABCD),2023-02-08 06:54:53,0 days 01:29:46,0
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,220048.0,2023-02-13 03:41:53,College / Advanced Statistics and Data Science (ABCD),2023-02-13 05:42:21,0 days 02:00:28,0
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,354107.0,2023-02-14 23:48:33,College / Advanced Statistics and Data Science (ABCD),2023-02-15 08:46:47,0 days 08:58:14,0
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,83809.0,2023-02-25 22:41:15,College / Advanced Statistics and Data Science (ABCD),2023-02-26 23:58:59,1 days 01:17:44,1
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,93749.0,2023-03-05 20:22:14,College / Advanced Statistics and Data Science (ABCD),2023-03-05 21:51:27,0 days 01:29:13,0
College / Advanced Statistics and Data Science (ABCD),13.0,1.0,13156.0,2023-03-07 07:52:13,College / Advanced Statistics and Data Science (ABCD),2023-03-07 09:28:51,0 days 01:36:38,0
College / Advanced Statistics and Data Science (ABCD),14.0,1.0,11760.0,2023-03-13 07:09:09,College / Advanced Statistics and Data Science (ABCD),2023-03-13 09:17:26,0 days 02:08:17,0
College / Advanced Statistics and Data Science (ABCD),15.0,1.0,359978.0,2023-03-13 09:21:11,College / Advanced Statistics and Data Science (ABCD),2023-03-13 09:51:30,0 days 00:30:19,0
College / Advanced Statistics and Data Science (ABCD),16.0,1.0,,2023-03-13 09:51:41,College / Advanced Statistics and Data Science (ABCD),2023-03-13 10:16:46,0 days 00:25:05,0
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,358.0,2023-04-05 05:24:28,College / Advanced Statistics and Data Science (ABCD),2023-04-05 23:21:18,0 days 17:56:50,0
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,174.0,2023-04-04 21:17:10,College / Advanced Statistics and Data Science (ABCD),2023-04-24 08:56:21,19 days 11:39:11,19
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,181.0,2023-04-10 08:32:21,College / Advanced Statistics and Data Science (ABCD),2023-04-12 23:20:44,2 days 14:48:23,2
College / Advanced Statistics and Data Science (ABCD),4.0,2.0,675.0,2023-04-13 00:45:09,College / Advanced Statistics and Data Science (ABCD),2023-04-15 23:58:47,2 days 23:13:38,2
College / Advanced Statistics and Data Science (ABCD),5.0,2.0,1311.0,2023-04-17 19:38:18,College / Advanced Statistics and Data Science (ABCD),2023-04-19 23:08:17,2 days 03:29:59,2
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,1739.0,2023-04-19 23:08:23,College / Advanced Statistics and Data Science (ABCD),2023-04-29 23:08:20,9 days 23:59:57,9
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,0.0,2023-05-08 02:34:59,College / Advanced Statistics and Data Science (ABCD),2023-05-10 18:07:05,2 days 15:32:06,2
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,0.0,2023-05-10 18:07:09,College / Advanced Statistics and Data Science (ABCD),2023-05-20 03:33:06,9 days 09:25:57,9
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,739.0,2023-05-28 08:39:44,College / Advanced Statistics and Data Science (ABCD),2023-05-28 09:07:48,0 days 00:28:04,0
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,0.0,2023-05-31 05:42:44,College / Advanced Statistics and Data Science (ABCD),2023-06-02 20:30:16,2 days 14:47:32,2
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,91948.0,2023-06-08 04:41:10,College / Advanced Statistics and Data Science (ABCD),2023-06-09 06:32:24,1 days 01:51:14,1
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,733.0,2023-04-04 05:36:53,College / Advanced Statistics and Data Science (ABCD),2023-04-04 06:21:10,0 days 00:44:17,0
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,343.0,2023-04-04 06:14:55,College / Advanced Statistics and Data Science (ABCD),2023-04-05 05:13:36,0 days 22:58:41,0
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,72.0,2023-04-05 05:13:46,College / Advanced Statistics and Data Science (ABCD),2023-04-15 09:18:12,10 days 04:04:26,10
College / Advanced Statistics and Data Science (ABCD),4.0,2.0,1738.0,2023-04-15 09:18:26,College / Advanced Statistics and Data Science (ABCD),2023-05-25 22:04:22,40 days 12:45:56,40
College / Advanced Statistics and Data Science (ABCD),5.0,2.0,1585.0,2023-04-17 22:45:25,College / Advanced Statistics and Data Science (ABCD),2023-04-18 00:41:10,0 days 01:55:45,0
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,121.0,2023-04-18 00:41:14,College / Advanced Statistics and Data Science (ABCD),2023-05-23 08:58:33,35 days 08:17:19,35
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,5062.0,2023-05-03 23:47:24,College / Advanced Statistics and Data Science (ABCD),2023-05-23 10:20:00,19 days 10:32:36,19
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,3252.0,2023-05-11 07:22:37,College / Advanced Statistics and Data Science (ABCD),2023-05-18 08:45:56,7 days 01:23:19,7
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,105.0,2023-05-25 01:38:36,College / Advanced Statistics and Data Science (ABCD),2023-05-25 23:29:18,0 days 21:50:42,0
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,1756.0,2023-05-31 08:24:05,College / Advanced Statistics and Data Science (ABCD),2023-06-01 08:39:08,1 days 00:15:03,1
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,9.0,2023-05-25 22:00:53,College / Advanced Statistics and Data Science (ABCD),2023-06-08 10:54:28,13 days 12:53:35,13
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,4189.0,2023-04-04 23:21:21,College / Advanced Statistics and Data Science (ABCD),2023-04-06 00:21:29,1 days 01:00:08,1
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,8644.0,2023-04-06 00:21:47,College / Advanced Statistics and Data Science (ABCD),2023-04-13 02:07:20,7 days 01:45:33,7
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,2932.0,2023-04-13 02:07:28,College / Advanced Statistics and Data Science (ABCD),2023-04-17 05:12:41,4 days 03:05:13,4
College / Advanced Statistics and Data Science (ABCD),4.0,1.0,0.0,2023-04-17 05:12:45,College / Advanced Statistics and Data Science (ABCD),2023-04-20 18:32:05,3 days 13:19:20,3
College / Advanced Statistics and Data Science (ABCD),5.0,1.0,10031.0,2023-04-21 01:20:51,College / Advanced Statistics and Data Science (ABCD),2023-04-22 05:49:11,1 days 04:28:20,1
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,1086.0,2023-04-22 05:49:15,College / Advanced Statistics and Data Science (ABCD),2023-04-25 04:57:54,2 days 23:08:39,2
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,0.0,2023-04-29 06:45:06,College / Advanced Statistics and Data Science (ABCD),2023-04-30 08:18:36,1 days 01:33:30,1
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,0.0,2023-04-30 08:18:52,College / Advanced Statistics and Data Science (ABCD),2023-05-04 00:00:15,3 days 15:41:23,3
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,68434.0,2023-05-05 21:04:17,College / Advanced Statistics and Data Science (ABCD),2023-05-06 08:11:38,0 days 11:07:21,0
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,0.0,2023-05-06 08:11:48,College / Advanced Statistics and Data Science (ABCD),2023-05-22 06:09:57,15 days 21:58:09,15
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,2981.0,2023-05-28 01:09:44,College / Advanced Statistics and Data Science (ABCD),2023-05-28 02:06:15,0 days 00:56:31,0
College / Advanced Statistics and Data Science (ABCD),13.0,1.0,5233.0,2023-05-10 18:31:02,College / Advanced Statistics and Data Science (ABCD),2023-05-30 04:39:16,19 days 10:08:14,19
College / Advanced Statistics and Data Science (ABCD),14.0,1.0,1627.0,2023-05-30 04:37:04,College / Advanced Statistics and Data Science (ABCD),2023-06-04 02:36:32,4 days 21:59:28,4
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,4951.0,2023-01-09 05:31:17,College / Advanced Statistics and Data Science (ABCD),2023-01-10 22:52:22,1 days 17:21:05,1
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,1868.0,2023-01-10 22:52:27,College / Advanced Statistics and Data Science (ABCD),2023-01-28 19:08:17,17 days 20:15:50,17
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,8667.0,2023-01-20 02:19:29,College / Advanced Statistics and Data Science (ABCD),2023-01-28 19:02:22,8 days 16:42:53,8
College / Advanced Statistics and Data Science (ABCD),4.0,1.0,3445.0,2023-01-21 02:23:10,College / Advanced Statistics and Data Science (ABCD),2023-02-02 21:24:43,12 days 19:01:33,12
College / Advanced Statistics and Data Science (ABCD),5.0,1.0,133.0,2023-02-02 21:24:52,College / Advanced Statistics and Data Science (ABCD),2023-02-02 22:24:34,0 days 00:59:42,0
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,4439.0,2023-02-02 22:24:39,College / Advanced Statistics and Data Science (ABCD),2023-02-03 00:04:15,0 days 01:39:36,0
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,707.0,2023-02-06 02:24:22,College / Advanced Statistics and Data Science (ABCD),2023-02-07 21:01:41,1 days 18:37:19,1
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,4455.0,2023-02-07 21:01:46,College / Advanced Statistics and Data Science (ABCD),2023-02-08 07:47:37,0 days 10:45:51,0
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,1384.0,2023-02-20 03:45:39,College / Advanced Statistics and Data Science (ABCD),2023-02-20 04:13:02,0 days 00:27:23,0
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,14265.0,2023-02-20 04:13:07,College / Advanced Statistics and Data Science (ABCD),2023-03-02 00:09:23,9 days 19:56:16,9
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,205740.0,2023-03-01 23:34:25,College / Advanced Statistics and Data Science (ABCD),2023-03-02 00:04:06,0 days 00:29:41,0
College / Advanced Statistics and Data Science (ABCD),13.0,1.0,2367.0,2023-03-13 19:44:59,College / Advanced Statistics and Data Science (ABCD),2023-03-13 20:43:13,0 days 00:58:14,0
College / Advanced Statistics and Data Science (ABCD),14.0,1.0,2938.0,2023-03-13 20:43:18,College / Advanced Statistics and Data Science (ABCD),2023-03-19 21:24:34,6 days 00:41:16,6
College / Advanced Statistics and Data Science (ABCD),15.0,1.0,15769.0,2023-03-19 21:25:20,College / Advanced Statistics and Data Science (ABCD),2023-03-20 22:29:36,1 days 01:04:16,1
College / Advanced Statistics and Data Science (ABCD),16.0,1.0,73377.0,2023-03-20 21:50:05,College / Advanced Statistics and Data Science (ABCD),2023-03-20 22:23:25,0 days 00:33:20,0
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,7700.0,2023-04-08 09:17:10,College / Advanced Statistics and Data Science (ABCD),2023-04-09 09:25:11,1 days 00:08:01,1
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,947.0,2023-04-09 03:26:32,College / Advanced Statistics and Data Science (ABCD),2023-04-10 05:58:38,1 days 02:32:06,1
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,10958.0,2023-04-11 01:59:42,College / Advanced Statistics and Data Science (ABCD),2023-04-16 01:00:39,4 days 23:00:57,4
College / Advanced Statistics and Data Science (ABCD),4.0,2.0,900.0,2023-04-16 01:00:55,College / Advanced Statistics and Data Science (ABCD),2023-04-16 05:48:38,0 days 04:47:43,0
College / Advanced Statistics and Data Science (ABCD),5.0,2.0,16970.0,2023-04-18 19:55:07,College / Advanced Statistics and Data Science (ABCD),2023-04-21 01:41:42,2 days 05:46:35,2
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,1218.0,2023-04-21 01:41:46,College / Advanced Statistics and Data Science (ABCD),2023-04-30 03:47:41,9 days 02:05:55,9
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,1950.0,2023-05-11 23:12:06,College / Advanced Statistics and Data Science (ABCD),2023-05-12 02:40:44,0 days 03:28:38,0
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,21344.0,2023-05-19 17:15:39,College / Advanced Statistics and Data Science (ABCD),2023-05-19 20:26:12,0 days 03:10:33,0
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,6697.0,2023-05-26 20:45:25,College / Advanced Statistics and Data Science (ABCD),2023-05-26 21:07:32,0 days 00:22:07,0
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,9755.0,2023-06-02 17:05:20,College / Advanced Statistics and Data Science (ABCD),2023-06-03 07:04:04,0 days 13:58:44,0
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,0.0,2023-06-08 05:27:25,College / Advanced Statistics and Data Science (ABCD),2023-06-09 05:27:10,0 days 23:59:45,0
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,5811.0,2023-04-03 14:09:41,College / Advanced Statistics and Data Science (ABCD),2023-06-02 23:16:04,60 days 09:06:23,60
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,745.0,2023-04-04 23:36:54,College / Advanced Statistics and Data Science (ABCD),2023-06-03 02:25:13,59 days 02:48:19,59
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,1000.0,2023-04-12 00:19:02,College / Advanced Statistics and Data Science (ABCD),2023-06-03 20:06:15,52 days 19:47:13,52
College / Advanced Statistics and Data Science (ABCD),4.0,2.0,0.0,2023-04-15 21:58:07,College / Advanced Statistics and Data Science (ABCD),2023-06-04 03:11:06,49 days 05:12:59,49
College / Advanced Statistics and Data Science (ABCD),5.0,2.0,8164.0,2023-04-20 08:29:35,College / Advanced Statistics and Data Science (ABCD),2023-06-04 07:30:33,44 days 23:00:58,44
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,1853.0,2023-04-25 19:12:18,College / Advanced Statistics and Data Science (ABCD),2023-06-05 05:20:50,40 days 10:08:32,40
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,0.0,2023-05-05 12:21:07,College / Advanced Statistics and Data Science (ABCD),2023-06-11 06:00:01,36 days 17:38:54,36
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,771.0,2023-05-18 05:37:22,College / Advanced Statistics and Data Science (ABCD),2023-06-12 01:53:59,24 days 20:16:37,24
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,0.0,2023-05-25 01:57:30,College / Advanced Statistics and Data Science (ABCD),2023-06-10 16:05:08,16 days 14:07:38,16
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,0.0,2023-05-26 05:32:24,College / Advanced Statistics and Data Science (ABCD),2023-06-12 15:07:41,17 days 09:35:17,17
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,34.0,2023-06-02 21:04:41,College / Advanced Statistics and Data Science (ABCD),2023-06-13 20:26:55,10 days 23:22:14,10
College / Statistics and Data Science (ABC),1.0,3.0,3122.0,2023-01-10 01:45:55,College / Statistics and Data Science (ABC),2023-01-10 06:29:56,0 days 04:44:01,0
College / Statistics and Data Science (ABC),2.0,1.0,0.0,2023-01-10 06:30:09,College / Statistics and Data Science (ABC),2023-01-15 00:16:00,4 days 17:45:51,4
College / Statistics and Data Science (ABC),3.0,1.0,71.0,2023-01-14 06:20:18,College / Statistics and Data Science (ABC),2023-01-18 06:39:54,4 days 00:19:36,4
College / Statistics and Data Science (ABC),4.0,1.0,454.0,2023-01-15 00:48:17,College / Statistics and Data Science (ABC),2023-01-21 09:21:44,6 days 08:33:27,6
College / Statistics and Data Science (ABC),5.0,1.0,49.0,2023-01-25 04:56:34,College / Statistics and Data Science (ABC),2023-01-27 00:19:53,1 days 19:23:19,1
College / Statistics and Data Science (ABC),6.0,1.0,722.0,2023-01-27 00:18:54,College / Statistics and Data Science (ABC),2023-01-31 07:11:03,4 days 06:52:09,4
College / Statistics and Data Science (ABC),8.0,1.0,2168.0,2023-02-09 23:56:03,College / Statistics and Data Science (ABC),2023-02-15 18:03:15,5 days 18:07:12,5
College / Statistics and Data Science (ABC),9.0,1.0,904.0,2023-02-21 23:56:50,College / Statistics and Data Science (ABC),2023-02-24 06:16:06,2 days 06:19:16,2
College / Statistics and Data Science (ABC),10.0,1.0,631.0,2023-02-24 06:16:27,College / Statistics and Data Science (ABC),2023-03-03 06:19:27,7 days 00:03:00,7
College / Statistics and Data Science (ABC),11.0,1.0,295.0,2023-03-03 06:19:31,College / Statistics and Data Science (ABC),2023-03-08 08:15:42,5 days 01:56:11,5
College / Statistics and Data Science (ABC),12.0,1.0,1897.0,2023-03-15 00:19:23,College / Statistics and Data Science (ABC),2023-03-16 06:48:41,1 days 06:29:18,1
College / Advanced Statistics and Data Science (ABCD),1.0,3.0,374.0,2023-01-11 18:45:35,College / Advanced Statistics and Data Science (ABCD),2023-01-31 00:16:43,19 days 05:31:08,19
College / Advanced Statistics and Data Science (ABCD),2.0,1.0,1666.0,2023-01-11 19:51:41,College / Advanced Statistics and Data Science (ABCD),2023-01-31 18:35:50,19 days 22:44:09,19
College / Advanced Statistics and Data Science (ABCD),3.0,1.0,4179.0,2023-01-17 17:49:38,College / Advanced Statistics and Data Science (ABCD),2023-02-01 00:53:40,14 days 07:04:02,14
College / Advanced Statistics and Data Science (ABCD),4.0,1.0,1204.0,2023-01-24 03:09:51,College / Advanced Statistics and Data Science (ABCD),2023-02-01 22:14:09,8 days 19:04:18,8
College / Advanced Statistics and Data Science (ABCD),5.0,1.0,876.0,2023-01-31 19:50:00,College / Advanced Statistics and Data Science (ABCD),2023-03-06 18:25:37,33 days 22:35:37,33
College / Advanced Statistics and Data Science (ABCD),6.0,1.0,2030.0,2023-02-06 18:54:19,College / Advanced Statistics and Data Science (ABCD),2023-03-08 17:59:00,29 days 23:04:41,29
College / Advanced Statistics and Data Science (ABCD),8.0,1.0,374.0,2023-02-23 03:13:46,College / Advanced Statistics and Data Science (ABCD),2023-03-08 21:34:52,13 days 18:21:06,13
College / Advanced Statistics and Data Science (ABCD),9.0,1.0,1737.0,2023-02-27 23:29:02,College / Advanced Statistics and Data Science (ABCD),2023-03-08 22:46:37,8 days 23:17:35,8
College / Advanced Statistics and Data Science (ABCD),10.0,1.0,4484.0,2023-03-08 22:49:58,College / Advanced Statistics and Data Science (ABCD),2023-03-29 16:10:36,20 days 17:20:38,20
College / Advanced Statistics and Data Science (ABCD),11.0,1.0,401.0,2023-03-19 01:12:12,College / Advanced Statistics and Data Science (ABCD),2023-03-29 17:48:05,10 days 16:35:53,10
College / Advanced Statistics and Data Science (ABCD),12.0,1.0,284219.0,2023-03-29 17:48:27,College / Advanced Statistics and Data Science (ABCD),2023-03-29 19:03:18,0 days 01:14:51,0
College / Advanced Statistics and Data Science (ABCD),13.0,1.0,757.0,2023-03-29 19:11:28,College / Advanced Statistics and Data Science (ABCD),2023-04-21 17:30:33,22 days 22:19:05,22
College / Advanced Statistics and Data Science (ABCD),14.0,1.0,1006.0,2023-03-29 19:22:35,College / Advanced Statistics and Data Science (ABCD),2023-04-21 18:30:53,22 days 23:08:18,22
College / Statistics and Data Science (ABC),1.0,3.0,2452.0,2023-01-29 08:36:55,College / Statistics and Data Science (ABC),2023-05-05 23:50:31,96 days 15:13:36,96
College / Statistics and Data Science (ABC),2.0,1.0,1750.0,2023-01-29 09:42:39,College / Statistics and Data Science (ABC),2023-05-06 00:02:22,96 days 14:19:43,96
College / Statistics and Data Science (ABC),3.0,1.0,1004.0,2023-02-04 09:08:53,College / Statistics and Data Science (ABC),2023-05-06 00:19:05,90 days 15:10:12,90
College / Statistics and Data Science (ABC),4.0,1.0,250.0,2023-02-13 04:51:52,College / Statistics and Data Science (ABC),2023-02-14 05:29:01,1 days 00:37:09,1
College / Statistics and Data Science (ABC),5.0,2.0,1434.0,2023-02-22 16:57:08,College / Statistics and Data Science (ABC),2023-02-27 06:57:30,4 days 14:00:22,4
College / Statistics and Data Science (ABC),6.0,1.0,2249.0,2023-02-27 06:57:35,College / Statistics and Data Science (ABC),2023-05-06 00:48:42,67 days 17:51:07,67
College / Statistics and Data Science (ABC),8.0,1.0,302.0,2023-03-14 04:42:32,College / Statistics and Data Science (ABC),2023-03-22 03:13:50,7 days 22:31:18,7
College / Statistics and Data Science (ABC),9.0,1.0,464.0,2023-03-22 03:13:59,College / Statistics and Data Science (ABC),2023-04-10 06:58:20,19 days 03:44:21,19
College / Statistics and Data Science (ABC),10.0,1.0,1941.0,2023-04-10 06:45:15,College / Statistics and Data Science (ABC),2023-04-17 07:01:26,7 days 00:16:11,7
College / Statistics and Data Science (ABC),11.0,1.0,2647.0,2023-04-17 06:59:56,College / Statistics and Data Science (ABC),2023-04-24 06:27:24,6 days 23:27:28,6
